Transfers of major conventional arms from All countries  to Ukraine  . Deals with deliveries made for the year range '2010' to '2024' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 5 Jan 2026 11:48:34 PM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Ukraine,Poland,2022,,1000,?,Piorun,portable SAM,1000,?,2022,New,Aid after 2022 Russian invasion of Ukraine,0.08,80,80
Ukraine,United States,2022,,12,?,Avenger,mobile SAM system,12,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.25,3.02,3.02
Ukraine,Slovakia,2022,,1,,Mi-2,light helicopter,1,,2022,Second hand,Second-hand; financed by EU aid after 2022 Russian invasion of Ukraine,0.44,0.44,0.44
Ukraine,Croatia,2022,?,10,?,RAK-12,multiple rocket launcher,10,?,2023,Second hand,Probably second-hand; probably aid after 2022 Russian invasion of Ukraine,0.03,0.28,0.28
Ukraine,Croatia,2022,,15,?,M-46 130mm,towed gun,15,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.26,3.9,3.9
Ukraine,United States,2022,,11,,vehicle engine,vehicle engine,11,,2022,New,Cummins USB-6.7L (360hp) diesel engine for 11 MLS Shield armoured personnel carriers from Italy,0.05,0.55,0.55
Ukraine,United Kingdom,2023,,,,Banshee Jet-80,one-way attack drone,20,?,2023; 2024,New,Aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as '200+km long-range attack drones'),0.05,0,1
Ukraine,Netherlands,2022,,10,?,Harpoon Block-2,anti-ship/land-attack missile,10,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,4,4
Ukraine,United Kingdom,2022,,800,?,Brimstone,air-to-surface missile,800,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for use from land-based launchers,0.06,48,48
Ukraine,Spain,2023,,5,,Harpoon Block-2,anti-ship/land-attack missile,5,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,2,2
Ukraine,Norway,2023,,3,,ARTHUR,artillery locating radar,3,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.6,4.8,4.8
Ukraine,Germany,2022,?,,?,MIM-104 PAC-2,SAM,175,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,0,70
Ukraine,Slovenia,2022,,38,,M-80,infantry fighting vehicle,38,,2022; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.36,13.68,13.68
Ukraine,Sweden,2023,,25,?,AIM-120A AMRAAM,long-range air-to-air missile,25,?,2023,Second hand,Second-hand; partly financed by US aid,0.16,4,4
Ukraine,Netherlands,2023,,24,,F-16C,FGA aircraft,6,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; F-16AM version (incl some F-16BM/F-16D trainer/combat version); delivery planned 2024-2025,11.4,273.6,68.4
Ukraine,Lithuania,2022,,30,?,2B11 120mm,mortar,30,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as '120mm mortar'),0.1,3,3
Ukraine,Czechia,2023,,80,?,BMP-2,infantry fighting vehicle,80,?,2023; 2024,Second hand,Second-hand; financed by Denmark as aid after 2022 Russian invasion of Ukraine,0.36,28.8,28.8
Ukraine,Turkiye,2022,,7,?,Bayraktar TB2,armed UAV,7,?,2022,New,Aid after 2022 Russian invasion of Ukraine; originally to be funded by Lithuanian; Polish and Ukrainian private aid but instead donated by producer,2.4,16.8,16.8
Ukraine,Germany,2022,,255,?,Vulcano-GLR,guided shell,255,?,2023,New,Aid after 2022 Russian invasion of Ukraine; Vulcano-GLR/SAL 155mm version; for PzH-2000 self-prooelled guns,0.04,10.2,10.2
Ukraine,Latvia,2022,,2,,Mi-2,light helicopter,2,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.44,0.88,0.88
Ukraine,United States,2022,,,?,GMLRS,guided rocket,30500,?,2022; 2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.03,0,976
Ukraine,Bulgaria,2023,,100,?,BTR-60PB,armoured personnel carrier,100,,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,10,10
Ukraine,Latvia,2022,,6,,M-109A5 155mm,self-propelled gun,6,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-109A5Oe version,0.5,3,3
Ukraine,Italy,2022,,11,,MLS Shield,armoured personnel carrier,11,,2022,New,,0.3,3.3,3.3
Ukraine,United States,2022,,30,?,ScanEagle,UAV,30,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.02,0.48,0.48
Ukraine,Slovakia,2023,,13,?,MiG-29S,FGA aircraft,13,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine (partly financed by EU); incl 11 MiG-29AS (incl 2 MiG-29UBS combat/trainer) and 2 MiG-29S versions,11.4,148.2,148.2
Ukraine,United States,2022,,72,,L-118 105mm,towed gun,72,,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-119 version,0.24,17.28,17.28
Ukraine,Germany,2023,,120,,IRIS-T,long-range air-to-air missile,120,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for IRIS-T SAM launchers,0.08,9.6,9.6
Ukraine,Czechia,2022,,435,,Strela-2,portable SAM,435,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.02,6.96,6.96
Ukraine,Poland,2019,,24,,Dozor-B,armoured personnel carrier,24,?,2020; 2021,New,Assembled in Ukraine,0.15,3.6,3.6
Ukraine,Norway,2022,,14,,LMV,armoured personnel carrier,14,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.06,0.84,0.84
Ukraine,Estonia,2022,,250,?,FGM-148 Javelin,anti-tank missile,250,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.01,3,3
Ukraine,United States,2022,,,?,Switchblade-600,loitering munition,600,?,2023; 2024,New,Aid after 2022 Russian invasion of Ukraine,0.15,0,90
Ukraine,Estonia,2022,,7,,Mamba,armoured personnel carrier,7,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.06,0.42,0.42
Ukraine,Netherlands,2023,,5,,BrPz-1 Biber,armoured bridgelayer,5,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,2,2
Ukraine,North Macedonia,2022,,30,?,T-72M1,tank,30,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.04,31.2,31.2
